         n,            x ,         t,                    s,     Pk,     k,    epsilon 
       1       0  0.10000000E-02  0.00000000E+00  0.51253336E-04  0.61988335E-02  0.34962482E-02
       2       0  0.20000000E-02  0.00000000E+00  0.51253336E-04  0.61976668E-02  0.34924963E-02
       3       0  0.30000000E-02  0.00000000E+00  0.51253336E-04  0.61965002E-02  0.34887445E-02
       4       0  0.40000000E-02  0.00000000E+00  0.51253336E-04  0.61953335E-02  0.34849926E-02
       5       0  0.50000000E-02  0.00000000E+00  0.51253336E-04  0.61941668E-02  0.34812407E-02
       6       0  0.60000000E-02  0.00000000E+00  0.51253336E-04  0.61930002E-02  0.34774888E-02
       7       0  0.70000000E-02  0.00000000E+00  0.51253336E-04  0.61918335E-02  0.34737369E-02
       8       0  0.80000000E-02  0.00000000E+00  0.51253336E-04  0.61906668E-02  0.34699850E-02
       9       0  0.90000000E-02  0.00000000E+00  0.51253336E-04  0.61895002E-02  0.34662331E-02
      10       0  0.10000000E-01  0.00000000E+00  0.51253336E-04  0.61883335E-02  0.34624813E-02
      11       0  0.11000000E-01  0.00000000E+00  0.51253336E-04  0.61871668E-02  0.34587294E-02
      12       0  0.12000000E-01  0.00000000E+00  0.51253336E-04  0.61860002E-02  0.34549775E-02
      13       0  0.13000000E-01  0.00000000E+00  0.51253336E-04  0.61848335E-02  0.34512256E-02
      14       0  0.14000000E-01  0.00000000E+00  0.51253336E-04  0.61836668E-02  0.34474737E-02
      15       0  0.15000000E-01  0.00000000E+00  0.51253336E-04  0.61825002E-02  0.34437218E-02
      16       0  0.16000000E-01  0.00000000E+00  0.51253336E-04  0.61813335E-02  0.34399700E-02
      17       0  0.17000000E-01  0.00000000E+00  0.51253336E-04  0.61801668E-02  0.34362181E-02
      18       0  0.18000000E-01  0.00000000E+00  0.51253336E-04  0.61790002E-02  0.34324662E-02
      19       0  0.19000000E-01  0.00000000E+00  0.51253336E-04  0.61778335E-02  0.34287143E-02
      20       0  0.20000000E-01  0.00000000E+00  0.51253336E-04  0.61766668E-02  0.34249624E-02
      21       0  0.21000000E-01  0.00000000E+00  0.51253336E-04  0.61755002E-02  0.34212105E-02
