 a11,   a22,   a33,   a12,   u1u1,     u2u2,    u3u3,     u1u2 
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41310001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41286668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41263335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41240001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41216668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41193335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41170001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41146668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41123335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41100001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41076668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41053335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41030001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.41006668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40983335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40960001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40936668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40913335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40890001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40866668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40843335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40820001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40796668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40773335E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40750001E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.41333335E-02  0.41333335E-02  0.40726668E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333333E-02  0.41333333E-02  0.40704604E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333332E-02  0.41333332E-02  0.40682540E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333331E-02  0.41333331E-02  0.40660476E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333330E-02  0.41333330E-02  0.40638413E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333328E-02  0.41333328E-02  0.40616349E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333327E-02  0.41333327E-02  0.40594285E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333326E-02  0.41333326E-02  0.40572221E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333325E-02  0.41333325E-02  0.40550157E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333323E-02  0.41333323E-02  0.40528094E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333322E-02  0.41333322E-02  0.40506030E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333321E-02  0.41333321E-02  0.40483966E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333320E-02  0.41333320E-02  0.40461902E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333319E-02  0.41333319E-02  0.40439838E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333317E-02  0.41333317E-02  0.40417775E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333316E-02  0.41333316E-02  0.40395711E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333315E-02  0.41333315E-02  0.40373647E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333314E-02  0.41333314E-02  0.40351583E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333312E-02  0.41333312E-02  0.40329519E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333311E-02  0.41333311E-02  0.40307456E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333310E-02  0.41333310E-02  0.40285392E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333309E-02  0.41333309E-02  0.40263328E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333307E-02  0.41333307E-02  0.40241264E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333306E-02  0.41333306E-02  0.40219200E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333305E-02  0.41333305E-02  0.40197137E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333304E-02  0.41333304E-02  0.40175073E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333303E-02  0.41333303E-02  0.40153009E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333301E-02  0.41333301E-02  0.40130945E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333300E-02  0.41333300E-02  0.40108881E-02  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -0.10161290E-01  0.00000000E+00  0.41333299E-02  0.41333299E-02  0.40086818E-02  0.00000000E+00
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333294E-02  0.41333294E-02  0.40066008E-02  0.20503724-320
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333289E-02  0.41333289E-02  0.40045197E-02  0.41007449-320
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333285E-02  0.41333285E-02  0.40024387E-02  0.61511173-320
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333280E-02  0.41333280E-02  0.40003577E-02  0.82014897-320
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333275E-02  0.41333275E-02  0.39982767E-02  0.10251862-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333270E-02  0.41333270E-02  0.39961957E-02  0.12302235-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333265E-02  0.41333265E-02  0.39941147E-02  0.14352607-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333261E-02  0.41333261E-02  0.39920337E-02  0.16402979-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333256E-02  0.41333256E-02  0.39899527E-02  0.18453352-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333251E-02  0.41333251E-02  0.39878717E-02  0.20503724-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333246E-02  0.41333246E-02  0.39857907E-02  0.22554097-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333241E-02  0.41333241E-02  0.39837096E-02  0.24604469-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333237E-02  0.41333237E-02  0.39816286E-02  0.26654842-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333232E-02  0.41333232E-02  0.39795476E-02  0.28705214-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333227E-02  0.41333227E-02  0.39774666E-02  0.30755586-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333222E-02  0.41333222E-02  0.39753856E-02  0.32805959-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333217E-02  0.41333217E-02  0.39733046E-02  0.34856331-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333213E-02  0.41333213E-02  0.39712236E-02  0.36906704-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333208E-02  0.41333208E-02  0.39691426E-02  0.38957076-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333203E-02  0.41333203E-02  0.39670616E-02  0.41007449-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333198E-02  0.41333198E-02  0.39649806E-02  0.43057821-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333193E-02  0.41333193E-02  0.39628996E-02  0.45108193-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333189E-02  0.41333189E-02  0.39608185E-02  0.47158566-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333184E-02  0.41333184E-02  0.39587375E-02  0.49208938-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333179E-02  0.41333179E-02  0.39566565E-02  0.51259311-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333174E-02  0.41333174E-02  0.39545755E-02  0.53309683-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333169E-02  0.41333169E-02  0.39524945E-02  0.55360056-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333165E-02  0.41333165E-02  0.39504135E-02  0.57410428-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333160E-02  0.41333160E-02  0.39483325E-02  0.59460800-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333155E-02  0.41333155E-02  0.39462515E-02  0.61511173-319
 -0.59430318E-06 -0.59430318E-06 -0.20460978E-01  0.00000000E+00  0.41333150E-02  0.41333150E-02  0.39441705E-02  0.63561545-319
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333140E-02  0.41333140E-02  0.39422125E-02  0.74020915-319
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333129E-02  0.41333129E-02  0.39402545E-02  0.84480285-319
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333119E-02  0.41333119E-02  0.39382965E-02  0.94939655-319
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333108E-02  0.41333108E-02  0.39363385E-02  0.10539902-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333098E-02  0.41333098E-02  0.39343805E-02  0.11585839-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333087E-02  0.41333087E-02  0.39324225E-02  0.12631776-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333077E-02  0.41333077E-02  0.39304645E-02  0.13677713-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333066E-02  0.41333066E-02  0.39285066E-02  0.14723650-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333056E-02  0.41333056E-02  0.39265486E-02  0.15769587-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333046E-02  0.41333046E-02  0.39245906E-02  0.16815524-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333035E-02  0.41333035E-02  0.39226326E-02  0.17861461-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333025E-02  0.41333025E-02  0.39206746E-02  0.18907398-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333014E-02  0.41333014E-02  0.39187166E-02  0.19953335-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41333004E-02  0.41333004E-02  0.39167586E-02  0.20999272-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332993E-02  0.41332993E-02  0.39148006E-02  0.22045209-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332983E-02  0.41332983E-02  0.39128426E-02  0.23091146-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332972E-02  0.41332972E-02  0.39108846E-02  0.24137083-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332962E-02  0.41332962E-02  0.39089267E-02  0.25183020-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332951E-02  0.41332951E-02  0.39069687E-02  0.26228957-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332941E-02  0.41332941E-02  0.39050107E-02  0.27274894-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332930E-02  0.41332930E-02  0.39030527E-02  0.28320831-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332920E-02  0.41332920E-02  0.39010947E-02  0.29366768-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332909E-02  0.41332909E-02  0.38991367E-02  0.30412705-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332899E-02  0.41332899E-02  0.38971787E-02  0.31458642-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332889E-02  0.41332889E-02  0.38952207E-02  0.32504579-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332878E-02  0.41332878E-02  0.38932627E-02  0.33550516-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332868E-02  0.41332868E-02  0.38913048E-02  0.34596453-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332857E-02  0.41332857E-02  0.38893468E-02  0.35642390-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332847E-02  0.41332847E-02  0.38873888E-02  0.36688327-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332836E-02  0.41332836E-02  0.38854308E-02  0.37734264-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332826E-02  0.41332826E-02  0.38834728E-02  0.38780201-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332815E-02  0.41332815E-02  0.38815148E-02  0.39826138-318
 -0.30501005E-05 -0.30501005E-05 -0.30845805E-01  0.10582565-316  0.41332805E-02  0.41332805E-02  0.38795568E-02  0.40872075-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332787E-02  0.41332787E-02  0.38777186E-02  0.43841409-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332769E-02  0.41332769E-02  0.38758804E-02  0.46810744-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332751E-02  0.41332751E-02  0.38740422E-02  0.49780078-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332733E-02  0.41332733E-02  0.38722040E-02  0.52749413-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332715E-02  0.41332715E-02  0.38703658E-02  0.55718747-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332697E-02  0.41332697E-02  0.38685276E-02  0.58688082-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332679E-02  0.41332679E-02  0.38666894E-02  0.61657416-318
 -0.87130134E-05 -0.87130134E-05 -0.41247518E-01  0.67609692-316  0.41332661E-02  0.41332661E-02  0.38648512E-02  0.64626751-318
