         n,            x ,         t,                    s,     Pk,     k,    epsilon 
       1       0  0.10000000E-02  0.16500000E+01  0.36411719E+03  0.52556494E+00  0.25245002E-03
       2       0  0.20000000E-02  0.16500000E+01  0.42531500E+03  0.95087924E+00  0.70915669E-03
       3       0  0.30000000E-02  0.16500000E+01  0.49866343E+03  0.14495413E+01  0.14053282E-02
       4       0  0.40000000E-02  0.16500000E+01  0.57484726E+03  0.20243861E+01  0.23776595E-02
       5       0  0.50000000E-02  0.16500000E+01  0.65234052E+03  0.26767230E+01  0.36632838E-02
       6       0  0.60000000E-02  0.16500000E+01  0.73068076E+03  0.34073985E+01  0.52998385E-02
       7       0  0.70000000E-02  0.16500000E+01  0.80977183E+03  0.42171630E+01  0.73253492E-02
       8       0  0.80000000E-02  0.16500000E+01  0.88956946E+03  0.51067226E+01  0.97780864E-02
       9       0  0.90000000E-02  0.16500000E+01  0.97007394E+03  0.60767839E+01  0.12696718E-01
      10       0  0.10000000E-01  0.16500000E+01  0.10512789E+04  0.71280467E+01  0.16120246E-01
      11       0  0.11000000E-01  0.16500000E+01  0.11331792E+04  0.82612058E+01  0.20088000E-01
      12       0  0.12000000E-01  0.16500000E+01  0.12157693E+04  0.94769505E+01  0.24639643E-01
      13       0  0.13000000E-01  0.16500000E+01  0.12990506E+04  0.10775971E+02  0.29815203E-01
      14       0  0.14000000E-01  0.16500000E+01  0.13829973E+04  0.12158933E+02  0.35654947E-01
      15       0  0.15000000E-01  0.16500000E+01  0.14676114E+04  0.13626502E+02  0.42199504E-01
      16       0  0.16000000E-01  0.16500000E+01  0.15528839E+04  0.15179337E+02  0.49489822E-01
      17       0  0.17000000E-01  0.16500000E+01  0.16388052E+04  0.16818084E+02  0.57567154E-01
      18       0  0.18000000E-01  0.16500000E+01  0.17253655E+04  0.18543383E+02  0.66473062E-01
      19       0  0.19000000E-01  0.16500000E+01  0.18125553E+04  0.20355862E+02  0.76249406E-01
      20       0  0.20000000E-01  0.16500000E+01  0.19003646E+04  0.22256140E+02  0.86938345E-01
      21       0  0.21000000E-01  0.16500000E+01  0.19887840E+04  0.24244825E+02  0.98582326E-01
      22       0  0.22000000E-01  0.16500000E+01  0.20778037E+04  0.26322518E+02  0.11122409E+00
      23       0  0.23000000E-01  0.16500000E+01  0.21674144E+04  0.28489807E+02  0.12490664E+00
      24       0  0.24000000E-01  0.16500000E+01  0.22576070E+04  0.30747275E+02  0.13967328E+00
      25       0  0.25000000E-01  0.16500000E+01  0.23483724E+04  0.33095491E+02  0.15556758E+00
      26       0  0.26000000E-01  0.16500000E+01  0.24397018E+04  0.35535021E+02  0.17263338E+00
      27       0  0.27000000E-01  0.16500000E+01  0.25315868E+04  0.38066417E+02  0.19091477E+00
      28       0  0.28000000E-01  0.16500000E+01  0.26240190E+04  0.40690225E+02  0.21045611E+00
      29       0  0.29000000E-01  0.16500000E+01  0.27169973E+04  0.43406991E+02  0.23130209E+00
      30       0  0.30000000E-01  0.16500000E+01  0.28104995E+04  0.46217237E+02  0.25349751E+00
      31       0  0.31000000E-01  0.16500000E+01  0.29045254E+04  0.49121486E+02  0.27708750E+00
      32       0  0.32000000E-01  0.16500000E+01  0.29990675E+04  0.52120251E+02  0.30211742E+00
      33       0  0.33000000E-01  0.16500000E+01  0.30941186E+04  0.55214041E+02  0.32863290E+00
      34       0  0.34000000E-01  0.16500000E+01  0.31896717E+04  0.58403356E+02  0.35667976E+00
